sku	quantity	stock_message	account	cogs_account	min_order	reorder_min	reorder_max
WBSFWWG10-805-66	0					0	0
WBSFWWG10-805-62	0					0	0
WBSFWWG10-805-60	1					0	0
WBSFWWG10-805-59	0					0	0
WBSFWWG10-805-56	0					0	0
WBSFWWG10-805-52	0					0	0
WBSFWWG10-805-50	1					0	0
WBSFWWG10-805-49	0					0	0
WBSFWWG10-805-46	1					0	0
WBSFWWG10-805-42	0					0	0
WBSFWWG10-805-40	2					0	0
WBSFWWG10-805-39	0					0	0
WBSFWWG10-805-36	1					0	0
WBSFWWG10-805-32	0					0	0
WBSFWWG10-805-30	0					0	0
WBSFWWG10-805-29	0					0	0
WBSFWWG10-805-26	0					0	0
WBSFWWG10-805-22	0					0	0
WBSFWWG10-805-20	1					0	0
WBSFWPG10-843-60	20					0	0
WBSFWPG10-843-58	20					0	0
WBSFWPG10-843-57	20					0	0
WBSFWPG10-843-56	20					0	0
WBSFWPG10-843-50	20					0	0
WBSFWPG10-843-48	20					0	0
WBSFWPG10-843-47	20					0	0
WBSFWPG10-843-46	20					0	0
WBSFWPG10-843-40	20					0	0
WBSFWPG10-843-38	20					0	0
WBSFWPG10-843-37	20					0	0
WBSFWPG10-843-36	20					0	0
WBSFWPG10-843-30	20					0	0
WBSFWPG10-843-27	20					0	0
WBSFWPG10-843-20	20					0	0
WBSFWL210-615-60	0					0	0
WBSFWL210-615-57	1					0	0
WBSFWL210-615-56	0					0	0
WBSFWL210-615-50	0					0	0
WBSFWL210-615-48	0					0	0
WBSFWL210-615-47	0					0	0
WBSFWL210-615-46	0					0	0
WBSFWL210-615-40	0					0	0
WBSFWL210-615-38	1					0	0
WBSFWL210-615-37	0					0	0
WBSFWL210-615-36	0					0	0
WBSFWL210-615-30	0					0	0
WBSFWL210-615-20	0					0	0
WBSFWGV10-843-80	20					0	0
WBSFWGV10-843-76	20					0	0
WBSFWGV10-843-70	20					0	0
WBSFWGV10-843-67	20					0	0
WBSFWGV10-843-66	20					0	0
WBSFWGV10-843-60	20					0	0
WBSFWGV10-843-58	20					0	0
WBSFWGV10-843-56	20					0	0
WBSFWGV10-843-50	20					0	0
WBSFWGV10-843-4812	20					0	0
WBSFWGV10-843-48	20					0	0
