code	sku	o_group	o_sort	o_default	o_simple	o_label	o_value	o_widget	o_height	o_width	description	price	wholesale	display_type
100068	ANS	color				Choose Color	41=Grey*	select						
100070	ANS	size				Choose Size	20=S,30=M*,40=L,50=XL	select						
ANS														separate
100072	WBSG32	model				Choose Reel Model	3100=3100 Spring & Pawl,3200=3200 Spring & Pawl,3300=3300 Spring & Pawl,3300D=3300D Disk Drag,3400D=3400D Disk Drag,3500D=3500D Disk Drag,35006=3600D Disk Drag	select						
100074	WBSG32	spool_reel				Spool or Reel	R=Reel,S=Spare Spool	select						
100077	WBSG32	color				Choose Color	B=Black,S=Silver	select						
WBSG32														separate
100079	WBSG330	model				Choose Model	1650=1650,1680=1680,1830=1830,1850=1850,1880=1880							
100081	WBSG330	reel_spool				Reel or Spool	R=Reel,S=Spare Spool	select						
WBSG330														separate
100084	WBSG8600	weight				Choose Line	002=Yellow WF-2-F 90',003=Yellow WF-3-F 90',004=Yellow WF-4-F 90',005=Yellow WF-5-F 90',006=Yellow WF-6-F 90',007=Yellow WF-7-F 90',008=Yellow WF-8-F 90',009=Yellow WF-9-F 90'							
100087	WBSFCSH10	color				Choose Color	807=LT KHAKI,717=DK KHAKI							
100089	WBSFCSH10	size				Choose Size	20=S,30=M,40=L,50=XL,60=XXL							
WBSFCSH10														one
WBSFSG														one
100095	WBSFSG	sole		B10900		Choose Sole	B10800=Felt,B10900=Stream Tread NEW,C10820=Studded					C10820=20.00		
100099	WBSFSG	size				Choose Size	07=Size 7,08=Size 8,09=Size 9,10=Size 10,11=Size 11,12=Size 12,13=Size 13,14=Size 14							
WBSFST														one
100100	WBSFST	sole		B10900		Choose Sole	B10900=Vibram Streamtread,F10800=Felt,S10831=Studded AquaStealth							
100101	WBSFST	size				Choose Size	07=Size 7,08=Size 8,09=Size 9,10=Size 10,11=Size 11,12=Size 12,13=Size 13,14=Size 14							
WBSFSS														one
100102	WBSFSS	sole				Choose Sole	B10900=Vibram Streamtread,L10800=Felt,K10800=Studded AquaStealth							
100103	WBSFSS	size				Choose Size	05=Size 5,06=Size 6,07=Size 7,08=Size 8,09=Size 9,10=Size 10,11=Size 11,12=Size 12,13=Size 13,14=Size 14							
WBSFSN														one
100107	WBSFLWC10	color				Choose Color	880=Orange,813=Lt. Green,811=Black							
100109	WBSFLWC10	size				Choose Size	20=S,30=M,40=L,50=XL,60=XXL							
WBSFLWC10														one
100111	WBSFCTT10	color				Choose Color	794=Salmon,721=Green,705=Blue							
100113	WBSFCTT10	size				Choose Size	20=S,30=M,40=L,50=XL,60=XXL							
100115	WBFPBCB	Color				Choose Coloe	DB=Dusk Blue*							
WBFPBCB														separate
100117	WBFPFWV	color				Choose Color	CV=Cottonwood*,TB=Tarpon Blue							
WBFPFWV														separate
100119	WBFPHCTP	color				Choose Color	MG=Moss Green/Rust*							
WBFPHCTP														separate
100121	WBFPWHTP	color				Choose Color	B=Barnwood*							
WBFPWHTP														separate
100123	WBFPSSTP	color				Choose Color	MC=Marsh/Carbon*,RC=Rust/Carbon							
WBFPSSTP														separate
100125	WBFPDHCB	color				Choose Color	MC=March/Carbon*,BG=Bitterroot Green							
WBFPDHCB														separate
100127	WBFPWTP	color				Choose Color	BP=Deepwater Blue*,MC=Marsh/Carbon							
WBFPWTP														separate
100129	WBFPORTP	color				Choose Color	BG=Bitterroot Green*							
WBFPORTP														separate
100131	WBFPGRTP	color				Choose Color	B=Barnwood*,CS=Canyon Sunset							
WBFPGRTP														separate
100133	WBFPSMV	color				Choose Color	TG=Tent Green*							
WBFPSMV														separate
100135	WBFPWWCP	color				Choose Color	MC=Marsh/Carbon*,SC=Slate/Carbon							
WBFPWWCP														separate
100137	WBFPWGP	color				Choose Color	S=Sand*							
WBFPWGP														separate
100139	WBFPBRCP	color				Choose Color	RN=Khaki/Rusy Nail,SG=Khaki/Sage Green,SB=Khaki/Steel Blue							
WBFPBRCP														separate
100141	WBFPCIGP	color				Choose Color	BB=Bahama Blue/Sand*							
WBFPCIGP														separate
100143	WBFPDCLP	color				Choose Color	BB=Bahama Blue/Sand*,CO=Cutthroat Orange/Sand							
WBFPDCLP														separate
100145	WBFPKWB	color				Choose Color	SB=Steel Blue/Sand*							
WBFPKWB														separate
100147	WBFPSJVCP	color				Choose Color	RN=Sand/Rusty Nail *,BB=Bahama Blue/Carbon,CO=Cutthroat Orange/Carbon							
WBFPSJVCP														separate
100149	WBFPSFP	color				Choose Color	BB=Bahama Blue*,CO=Cutthroat Orange,S=Sand							
100151	WBSFRA	color				Choose Color	508=Tan*							
100153	WBSFRA	size				Choose Size	20=S,30=M,40=L,50=XL,60=XXL							
WBSFRA														one
100156	WBOR60L0	color				Choose Color	01=Tan,21=Olive							
100158	WBOR60L0	size				Choose Size	51=S,52=M,53=L,54=XL,55=XXL,57=LS,56=ML,59=XXLS,60=LL,61=XLS,62=MS,63=XLL							
WBOR60L0														separate
WBSFLWD-size	WBSFLWD	size				Choose Size	s=S,ml=ML,xl=XL(Womens),xlk=XLK	select						
100160	WBROCIM	size				Choose Size	1=1,2=2,3=3,4=4,5=5							
100162	WBROCIM	spool_reel				Spool or Reel	S=Spool,R=Reel							
100164	WBROCIM	color				Choose Color	GREY=SLATE GREY*,BLACK=BLACK							
WBROCIM														separate
100166	WBROCLA	size				Choose Size	1=1,2=2,3=3,4=4,5=5,6=6,7=7							
100168	WBROCLA	reel_spool				Reel or Spool	R=Reel,S=Spool							
WBROEVO														one
100171	WBROCLA	color				Choose Color	BLACK=Black,GREY=Grey,COPPER=Copper							
WBROCLA														one
100173	WBROEVO	size				Choose Size	0=0,1=1,1.5=1.5,2=2,3=3,3.5=3.5							
100174	WBROEVO	reel_spool				Reel or Spool	R=Reel,S=Spool							
100175	WBROEVO	color				Choose Color	BLACK=Black,BLUE=Slate Blue,COPPER=Copper							
WBROMTM														separate
100176	WBROMTM	size				Choose Size	4=4,5=5,6=6,7=7,8=8							
100177	WBROMTM	reel_spool				Reel or Spool	R=Reel,S=Spool							
100178	WBROMTM	color				Choose Color	BLACK=Black,GOLD=Gold							
100180	WBRWFLYS	size				Choose Size	1=1,2=2,3=3,4=4							
