sku	item_id	description	comment	comment_short	image	price	wholesale	sale_price	prod_group	category	manufacturer	merchandising	gender	weight	option_type	gift_cert	related	featured	inactive	sort_order	thumb_folder	image_folder	buylink_sub	item_aff_url	item_aff_txt	item_aff_code	manufacturer_id	flypage
WBSFWWG10	713	WOMENS GORE-TEX STOCKINGFOOT WADERS 2008 DISCONTINUED	<br /><ul id="productdetails"><li><span class="nn4">3-layer GORE-TEXÆ Performance Shell fabric technology with 5-layer front leg panel for additional durability</span></li><li><span class="nn4">Incorporating our patented front and back leg seam design for exceptional comfort and articulation</span></li><li><span class="nn4">Adjustable elastic 1.5&quot; suspender with YKKÆ non-locking buckles</span></li><li><span class="nn4">Exterior chest pocket with VelcroÆ closure</span></li><li><span class="nn4">Fleece-lined hand warmer pocket with DWR treatment keeps hands warm &amp; dry</span></li><li><span class="nn4">Flip-out, zippered chest pocket</span></li><li><span class="nn4">Upper features women-specific cut with higher chest</span></li><li><span class="nn4">Patented built-in Guide Model Gravel Guards</span></li><li><span class="nn4">Includes nylon wading belt with unique pattern and repair kit</span></li><li><span class="nn4">Offeredin a broad range of sizes - including short &amp; tall - to accommodatediverse shapes and sizes; available in stores March 2008</span></li><li><span class="nn4">Every pair manufactured in Bozeman, Montana</span></li></ul>	Our new Womens GORE-TEXÆ waders offer a fit thats as dialed in as their performance.	womens_stocking_large.jpg	329.95		265.95	 Equipment	Waders	Simms	discontinued		3	Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFWPG10	714	G3 GUIDE CONVERTIBLE WADER	<br /><ul id="productdetails"><li><span class="nn4">5-layer and 3-layer GORE-TEXÆ Pro Shell fabric technology</span></li><li><span class="nn4">Easily converts from pant to chest high wader with innovative zip away extension system at waist</span></li><li><span class="nn4">3.9 oz lightweight upper extension features GORE-TEXÆ Performance Shell fabric for minimal bulk</span></li><li><span class="nn4">Adjustable and removable 1.5√¢ÄÔøΩ suspender system</span></li><li><span class="nn4">Patented front and back leg seam construction for enhanced articulation, comfort and durability</span></li><li><span class="nn4">Built-in belt loops with nylon web wading belt included</span></li><li><span class="nn4">Patented built-in Guide Model Gravel Guards</span></li><li><span class="nn4">4mm, high-density Japanese neoprene stockingfeet</span></li><li><span class="nn4">DEET &amp; saltwater resistant</span></li><li><span class="nn4">Every pair manufactured in Bozeman, Montana</span></li></ul>	Finally, our most durable wader converts to a pant. Cool wearing in the most durable GORE-TEXÆ Pro Shell fabric.	g3_guide_conv.jpg	379.95			Clothing	Waders	Simms	none		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				g3_guide_convertible	flypage.html
WBSFWL210	715	L2 STOCKINGFOOT WADERS DISCONTINUED	<br /><ul id="productdetails"><li><span class="nn4">3-layer Gore-TexÆ ImmersionÆ Technology fabric with reinforced knee</span></li><li><span class="nn4">Upper features 3.9 oz. lightweight Gore-TexÆ XCRÆ micro fiber fabric for added breathability</span></li><li><span class="nn4">Lower features polyester micro fiber fabric</span></li><li><span class="nn4">Built-in belt loop and gravel guards with rust resistant boot hook</span></li><li><span class="nn4">Nylon wading belt and repair kit included</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img width="28" height="11" alt="Sizes" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" /><a href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg" target="_blank"><img width="55" height="16" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	The L2 is a direct result of our quest for lighter weight, high-performance products that offer exceptional comfort.	l2_stockingfoot_large.jpg	249.95		199.95	Clothing	Waders	Simms	discontinued			Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBORSI68R8	1270				photo_not_available.gif	0.00								0	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage.html
WBSFWGV10	716	G4 PRO STOCKINGFOOT WADERS	<br /><ul id="productdetails"><li><span class="nn4">5-layer and 3-layer GORE-TEXÆ Pro ShellÆ fabric technology</span></li><li><span class="nn4">Incorporates more 5-layer fabric than any other wader, throughout legs, waist and seat</span></li><li><span class="nn4">Adjustable elastic 1.5&quot; suspender with YKKÆ non-locking buckles</span></li><li><span class="nn4">Zippered hand warmer pockets with quick-drying micro fleece lining</span></li><li><span class="nn4">Thermolaminated, zippered SchoellerÆ fabric chest pocket with retractor docking station</span></li><li><span class="nn4">Flip-out Tippet Tender pocket includes patented built-in retractor</span></li><li><span class="nn4">Patented front and back leg seam construction for improved fit, increased articulation, and decreased leg seam abrasion</span></li><li><span class="nn4">Low profile belt loops accommodate 2&quot; wading belt</span></li><li><span class="nn4">Includes forceps tab and accommodates Simms' Super-Fly Patch and Retractor</span></li><li><span class="nn4">4mm high-density neoprene stockingfoot with hourglass seam design for more cushion and increased durability</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img width="28" height="11" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" alt="Sizes" /><a target="_blank" href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg"><img width="55" height="16" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	Our highest performing GORE-TEXÆ Pro Shell fabric wader built for the most demanding angler. The G4 Guide Wader without a zipper	g4_pro_large.jpg	499.95			Clothing	Waders	Simms	none		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				g4_pro_stockingfoots	flypage.html
WBSFWGV107	717	G4Z ZIPPER STOCKINGFOOT WADERS	<br /><ul id="productdetails"><li><span class="nn4">5-layer and 3-layer GORE-TEXÆ Pro Shell fabric technology</span></li><li><span class="nn4">Incorporates more 5-layer fabric than any other wader, throughout legs, waist and seat</span></li><li><span class="nn4">Waterproof center-front zipper </span></li><li><span class="nn4">Adjustable stretch spacer mesh suspender system</span></li><li><span class="nn4">Zippered hand warmer pockets with quick-drying micro fleece lining</span></li><li><span class="nn4">2 thermolaminated, SchoellerÆ fabric chest pockets</span></li><li><span class="nn4">Adjustable, removable belt system featuring Simms' Neoprene Wading Belt and built-in belt loop</span></li><li><span class="nn4">Patented front and back leg seam construction for improved fit, increased articulation, and decreased leg seam abrasion</span></li><li><span class="nn4">4mm high-density neoprene stockingfoot with hourglass seam design for more cushion and increased durability</span></li><li><span class="nn4">Awarded Gray's Best 2008 from Gray's Sporting Journal</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img width="28" height="11" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" alt="Sizes" /><a target="_blank" href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg"><img width="55" height="16" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	Introduced in 2007, this award-winning wader is the benchmark wader for comfort, durability, performance and convenience.	g4_large.jpg	699.95			Clothing	Waders	Simms	none		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				g4_guide_stgft_wader_2007	flypage.html
WBSFWGR10	718	RIVERSHED STOCKINGFOOT WADERS DISCONTINUED	<ul id="productdetails"><li><span class="nn4">3-layer GORE-TEXÆ Performance Shell fabric technology with 5-layer front leg panel for additional durability</span></li><li><span class="nn4">Adjustable elastic 1.5&quot; suspender with YKKÆ non-locking buckles</span></li><li><span class="nn4">Thermolaminated SchoellerÆ zippered chest pocket</span></li><li><span class="nn4">Flip-out, zippered chest pocket with key cord</span></li><li><span class="nn4">Articulated knees for less bulk and more comfortable wear</span></li><li><span class="nn4">Patented built-in Guide Model Gravel Guards</span></li><li><span class="nn4">Easily convert to waist highs</span></li><li><span class="nn4">Nylon wading belt and repair kit included</span></li><li><span class="nn4">DEET &amp; saltwater resistant</span></li><li><span class="nn4">Every pair manufactured in Bozeman, Montana</span></li></ul><p><img height="11" width="28" alt="Sizes" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" /><a href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg" target="_blank"><img height="16" border="0" width="55" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	Our lightweight Rivershed GORE-TEXÆ waders are primed for any angler or angling adventure.	rivershed_stockingfoot.jpg	299.95		239.95	Clothing	Waders	Simms	discontinued		3	Matrix_Reloaded				1	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
WBSFWGP10	719	G3 GUIDE STOCKINGFOOT WADERS	<ul id="productdetails"><li><span class="nn4">5-layer and 3-layer GORE-TEXÆ Pro Shell fabric technology</span></li><li><span class="nn4">Patented front and back leg seam construction for enhanced articulation, comfort and durability</span></li><li><span class="nn4">Patented built-in Guide Model Gravel Guards</span></li><li><span class="nn4">Exterior chest pocket with zippered closure holds large fly box</span></li><li><span class="nn4">Fleece-lined hand warmer pocket with DWR treatment</span></li><li><span class="nn4">Flip-out Tippet Tender pocket includes patented built-in retractor</span></li><li><span class="nn4">Low profile belt loops accommodate 2&quot; wading belt</span></li><li><span class="nn4">Easily convert to waist highs</span></li><li><span class="nn4">DEET &amp; saltwater resistant</span></li><li><span class="nn4">Nylon wading belt &amp; repair kit included</span></li><li><span class="nn4">Every pair manufactured in Bozeman, Montana</span></li></ul><p><img width="28" height="11" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" alt="Sizes" /><a target="_blank" href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg"><img width="55" height="16" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	An updated version of our top selling wader now with GORE-TEX Pro Shell fabric - and at a great new price.	g3_guide_large.jpg	399.95			Clothing	Waders	Simms	none		3	Matrix				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/				g3_guide_stockingfoots_s8	flypage.html
WBSFWG54	720	RIVERTEK STOCKINGFOOT WADERS	<ul id="productdetails"><li><span class="nn4">3-layer Gore-TexÆ Performance Shell fabric with reinforced knee</span></li><li><span class="nn4">Patented waist high roll-up features lightweight GORE-TEXÆ fabric with low profile laminated pocket</span></li><li><span class="nn4">Easy conversion from chest to pant wader</span></li><li><span class="nn4">Roll-top includes shock cord cinch and 1&quot; removable suspenders</span></li><li><span class="nn4">Built-in belt provides easy adjustment to accommodate layering</span></li><li><span class="nn4">Patented built-in neoprene Guide Model Gravel Guards</span></li><li><span class="nn4">4mm, high-density neoprene stockingfeet with hourglass seam design</span></li><li><span class="nn4">Repair kit included</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img width="28" height="11" alt="Sizes" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" /><a href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg" target="_blank"><img width="55" height="16" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	These waders use a combination of innovative Gore-TexÆ fabrics. The versatile design allows them to be worn as pants or chest hi	riverteksf_large.jpg	299.95		239.95	Clothing	Waders	Simms	discontinued			Matrix				1	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage.html
WBSFWFS10	721	FREESTONE STOCKINGFOOT WADERS 2008 MODEL DISCONTINUED	<ul id="productdetails"><li><span class="nn4">4-layer QuadraLam fabric technology</span></li><li><span class="nn4">Upper features lightweight polyester fabric</span></li><li><span class="nn4">Flip-out, zippered chest pocket</span></li><li><span class="nn4">Gusseted crotch for enhanced mobility</span></li><li><span class="nn4">Built-in belt loop</span></li><li><span class="nn4">Patented built-in neoprene gravel guards</span></li><li><span class="nn4">3.5mm high-density neoprene stockingfoot with hourglass design for increased durability</span></li><li><span class="nn4">Easily converts to waist highs</span></li><li><span class="nn4">Nylon wading belt included</span></li><li><span class="nn4">Every pair manufactured and tested in Bozeman, Montana</span></li></ul><p><img height="11" width="28" src="http://www.westbranchangler.com/images/simms/waders/title_sizes.gif" alt="Sizes" /><a target="_blank" href="http://cache.simmsfishing.com/simms/images/Wader_Chart_Mens_08.jpg"><img height="16" width="55" border="0" src="http://www.westbranchangler.com/images/simms/waders/formbutton_wader_size_chart.gif" /></a></p>	Performance and quality at a great price. A perfect wader for a new angler.	freestone_stocking_large.jpg	199.95		139.95	Clothing	Waders	Simms	discontinued		3	Matrix_Reloaded				0	0	http://www.westbranchangler.com/site/images/items/120x120/	http://www.westbranchangler.com/site/images/items/325x325/	http://www.westbranchangler.com/cgi-bin/site/					flypage_show_stock.html
