code	sku	manf_sku	item_number	description	size	attribute	image	season	release	price	wholesale	sale_price	weight	inactive	upc	quantity
WBSFWWG10-805-66	WBSFWWG10	WWG1080566	0	WOMEN'S GORE-TEX STOCKINGFOOT XXLS	XXLS					379.95	208.97	265.95	6		694264048283	0
WBSFWWG10-805-62	WBSFWWG10	WWG1080562	0	WOMEN'S GORE-TEX STOCKINGFOOT XXLF	XXLF					329.95	181.47	265.95	6		694264045336	0
WBSFWWG10-805-60	WBSFWWG10	WWG1080560	0	WOMEN'S GORE-TEX STOCKINGFOOT XXL	XXL					329.95	181.47	265.95	6		694264045329	1
WBSFWWG10-805-59	WBSFWWG10	WWG1080559	0	WOMEN'S GORE-TEX STOCKINGFOOT XLT	XLT					379.95	208.97	265.95	6		694264048276	0
WBSFWWG10-805-56	WBSFWWG10	WWG1080556	0	WOMEN'S GORE-TEX STOCKINGFOOT XLS	XLS					329.95	181.47	265.95	6		694264045312	0
WBSFWWG10-805-52	WBSFWWG10	WWG1080552	0	WOMEN'S GORE-TEX STOCKINGFOOT XLF	XLF					329.95	181.47	265.95	6		694264045305	0
WBSFWWG10-805-50	WBSFWWG10	WWG1080550	0	WOMEN'S GORE-TEX STOCKINGFOOT XL	XL					329.95	181.47	265.95	6		694264045299	0
WBSFWWG10-805-49	WBSFWWG10	WWG1080549	0	WOMEN'S GORE-TEX STOCKINGFOOT LT	LT					379.95	208.97	265.95	6		694264048269	0
WBSFWWG10-805-46	WBSFWWG10	WWG1080546	0	WOMEN'S GORE-TEX STOCKINGFOOT LS	LS					329.95	181.47	265.95	6		694264045282	1
WBSFWWG10-805-42	WBSFWWG10	WWG1080542	0	WOMEN'S GORE-TEX STOCKINGFOOT LF	LF					329.95	181.47	265.95	6		694264045275	0
WBSFWWG10-805-40	WBSFWWG10	WWG1080540	0	WOMEN'S GORE-TEX STOCKINGFOOT L	L					329.95	181.47	265.95	6		694264045268	1
WBSFWWG10-805-39	WBSFWWG10	WWG1080539	0	WOMEN'S GORE-TEX STOCKINGFOOT MT	MT					379.95	208.97	265.95	6		694264048252	0
WBSFWWG10-805-36	WBSFWWG10	WWG1080536	0	WOMEN'S GORE-TEX STOCKINGFOOT MS	MS					329.95	181.47	265.95	6		694264045251	0
