WBSFSBS109,PURSUIT SHOE,PURSUIT SHOE,Anatomically molded shoe with neoprene and mesh for excellent protcection from sand and gravel - great for wet wading or boat use,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_pursuit_wading_shoe.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_pursuit_wading_shoe.jpg,http://www.westbranchangler.com/WBSFSBS109,119.95
WBSFSN,FREESTONE® BOOT - STREAMTREAD™,FREESTONE® BOOT - STREAMTREAD™,An updated version of a Simms favorite. The new Freestone offers outstanding quality and comfort at a fantastic price.,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_freestone_streamtread.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_freestone_streamtread.jpg,http://www.westbranchangler.com/WBSFSN,129.95
WBSFSG4109,G4 GUIDE BOOT,G4 GUIDE BOOT,This is the hardest working boot that Simms offers. The G4 utilizes leather and Schoeller® fabric technology. ,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_g4guide_boot_streamtread.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_g4guide_boot_streamtread.jpg,http://www.westbranchangler.com/WBSFSG4109,219.95
WBSFSG,GUIDE BOOT - STREAMTREAD™ ,GUIDE BOOT - STREAMTREAD™ ,"Our most durable leather boot, featuring outstanding traction, protection and stability in the StreamTread sole. ",Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_guide_boot_streamtread.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_guide_boot_streamtread.jpg,http://www.westbranchangler.com/WBSFSG,199.95
WBSFSS,HEADWATERS® BOOT - STREAMTREAD™,HEADWATERS® BOOT - STREAMTREAD™,Lace up our lightest boots without taking a hit to your budget. The Headwaters carry a featherweight price tag and deliver rugged performance.,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_headwaters_streamtread.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_headwaters_streamtread.jpg,http://www.westbranchangler.com/WBSFSS,149.95
WBSFST,RIVERSHED™ BOOT - STREAMTREAD™ ,RIVERSHED™ BOOT - STREAMTREAD™ ,An athletic design for anglers who want lighter boots to hike into the backcountry. ,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_rivershed_streamtread.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_rivershed_streamtread.jpg,http://www.westbranchangler.com/WBSFST,179.95
WBSFSRS109,PURSUIT SANDAL ,PURSUIT SANDAL ,"Along with a casual yet technical design, our new Vibram® soles won't mark the boat deck and provide traction on mossy rocks.",Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_pursuit_wading_sandle.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_pursuit_wading_sandle.jpg,http://www.westbranchangler.com/WBSFSRS109,99.95
WBSFSWH109,WOMEN'S HEADWATERS® BOOT,WOMEN'S HEADWATERS® BOOT,We have developed a wading boot just for women that features a narrower last and lightweight wading comfort - without forfeiting support.,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/simms_womens_headwaters_boot.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/simms_womens_headwaters_boot.jpg,http://www.westbranchangler.com/WBSFSWH109,149.95
WBSFSBF110,BLACKFOOT™ BOOT - VIBRAM,BLACKFOOT™ BOOT - VIBRAM,"Whether you are a new angler or looking for great value, the Blackfoot Boot offers Simms quality and a Vibram® sole.",Boots, Equipment,http://www.westbranchangler.com/assetstore/site/images/items/120x120/WBSFSBF110.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/WBSFSBF110.jpg,http://www.westbranchangler.com/WBSFSBF110,99.95
WBSFSFB110,FLATS BOOT,FLATS BOOT,Footwear designed for the most demanding flats wading environments with more support. Featuring puncture and abrasion-resistant materials for added durability.,Boots,Clothing,http://www.westbranchangler.com/assetstore/site/images/items/120x120/flats_boot.jpg,http://www.westbranchangler.com/assetstore/site/images/items/325x325/flats_boot.jpg,http://www.westbranchangler.com/WBSFSFB110,149.95
