SKU,Manufacturer_ID,Brand_Name,Product_Name,Long_Description,Short_description,Category,Subcategory,Product_Group,Thumb_URL,Image_URL,Buy_Link,Keywords,Reviews,Retail_Price,Brand_Page_Link,Brand_Logo_Image,Item_Based_Commission
WBSFWWG10,,,"WOMEN'S GORE-TEX STOCKINGFOOT     ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> WOMEN'S GORE-TEX&reg; STOCKINGFOOTS </div>\r\n   <p class=""description"">Our new Women’s GORE-TEX&reg; waders offer a fit that’s as dialed in as their performance.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">3-layer GORE-TEX&reg; Performance Shell fabric technology with 5-layer front leg panel for additional durability</span></li><li><span class=""nn4"">Incorporating our patented front and back leg seam design for exceptional comfort and articulation</span></li><li><span class=""nn4"">Adjustable elastic 1.5"" suspender with YKK&reg; non-locking buckles</span></li><li><span class=""nn4"">Exterior chest pocket with Velcro&reg; closure</span></li><li><span class=""nn4"">Fleece-lined hand warmer pocket with DWR treatment keeps hands warm &amp; dry</span></li><li><span class=""nn4"">Flip-out, zippered chest pocket</span></li><li><span class=""nn4"">Upper features women-specific cut with higher chest</span></li><li><span class=""nn4"">Patented built-in Guide Model Gravel Guards</span></li><li><span class=""nn4"">Includes nylon wading belt with unique pattern and repair kit</span></li><li><span class=""nn4"">Offered\r\nin a broad range of sizes - including short &amp; tall - to accommodate\r\ndiverse shapes and sizes; available in stores March 2008</span></li><li><span class=""nn4"">Every pair manufactured in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				womens_stocking_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				womens_stocking_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWWG10,,,329.95,,,
WBSFWPG10,,,"G3 GUIDE CONVERTIBLE      ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> G3 GUIDE CONVERTIBLE </div>\r\n   <p class=""description"">Finally, our most durable wader converts to a pant.  Cool wearing in the most durable GORE-TEX&reg; Pro Shell fabric.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">5-layer and 3-layer GORE-TEX&reg; Pro Shell fabric technology</span></li><li><span class=""nn4"">Easily converts from pant to chest high wader with innovative zip away extension system at waist</span></li><li><span class=""nn4"">3.9 oz lightweight upper extension features GORE-TEX&reg; Performance Shell fabric for minimal bulk</span></li><li><span class=""nn4"">Adjustable and removable 1.5” suspender system</span></li><li><span class=""nn4"">Patented front and back leg seam construction for enhanced articulation, comfort and durability</span></li><li><span class=""nn4"">Built-in belt loops with nylon web wading belt included</span></li><li><span class=""nn4"">Patented built-in Guide Model Gravel Guards</span></li><li><span class=""nn4"">4mm, high-density Japanese neoprene stockingfeet</span></li><li><span class=""nn4"">DEET &amp; saltwater resistant</span></li><li><span class=""nn4"">Available in stores March 2008</span></li><li><span class=""nn4"">Every pair manufactured in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				g3_guide_conv.jpg,http://www.westbranchangler.com/site/images/items/325x325/				g3_guide_conv.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWPG10,,,379.95,,,
WBSFWL210,,,"L2 STOCKINGFOOT WADER       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> L2 STOCKINGFOOTS </div>\r\n   <p class=""description"">The L2 is a direct result of our quest for lighter weight, high-performance products that offer exceptional comfort.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">3-layer Gore-Tex&reg; Immersion&reg; Technology fabric with reinforced knee</span></li><li><span class=""nn4"">Upper features 3.9 oz. lightweight Gore-Tex&reg; XCR&reg; micro fiber fabric for added breathability</span></li><li><span class=""nn4"">Lower features polyester micro fiber fabric</span></li><li><span class=""nn4"">Built-in belt loop and gravel guards with rust resistant boot hook</span></li><li><span class=""nn4"">Nylon wading belt and repair kit included</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				l2_stockingfoot_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				l2_stockingfoot_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWL210,,,249.95,,,
WBSFWGV10,,,"G4 PRO STOCKINGFOOT      ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> G4 PRO™  STOCKINGFOOTS </div>\r\n   <p class=""description"">Our\r\nhighest performing GORE-TEX&reg; Pro Shell fabric wader – built for the\r\nmost demanding angler. The G4 Guide Wader without a zipper!</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">5-layer and 3-layer GORE-TEX&reg; Pro Shell&reg; fabric technology</span></li><li><span class=""nn4"">Incorporates more 5-layer fabric than any other wader, throughout legs, waist and seat</span></li><li><span class=""nn4"">Adjustable elastic 1.5"" suspender with YKK&reg; non-locking buckles</span></li><li><span class=""nn4"">Zippered hand warmer pockets with quick-drying micro fleece lining</span></li><li><span class=""nn4"">Thermolaminated, zippered Schoeller&reg; fabric chest pocket with retractor docking station</span></li><li><span class=""nn4"">Flip-out Tippet Tender pocket includes patented built-in retractor</span></li><li><span class=""nn4"">Patented front and back leg seam construction for improved fit, increased articulation, and decreased leg seam abrasion</span></li><li><span class=""nn4"">Low profile belt loops accommodate 2"" wading belt</span></li><li><span class=""nn4"">Includes forceps tab and accommodates Simms' Super-Fly Patch and Retractor</span></li><li><span class=""nn4"">4mm high-density neoprene stockingfoot with hourglass seam design for more cushion and increased durability</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				g4_pro_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				g4_pro_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGV10,,,499.95,,,
WBSFWGV107,,,"G4 GUIDE STOCKINGFOOT       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> G4 GUIDE™ STOCKINGFOOTS </div>\r\n   <p class=""description"">Introduced in 2007, this award-winning wader is the benchmark wader for comfort, durability, performance and convenience.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">5-layer and 3-layer GORE-TEX&reg; Pro Shell fabric technology</span></li><li><span class=""nn4"">Incorporates more 5-layer fabric than any other wader, throughout legs, waist and seat</span></li><li><span class=""nn4"">Waterproof center-front zipper </span></li><li><span class=""nn4"">Adjustable stretch spacer mesh suspender system</span></li><li><span class=""nn4"">Zippered hand warmer pockets with quick-drying micro fleece lining</span></li><li><span class=""nn4"">2 thermolaminated, Schoeller&reg; fabric chest pockets</span></li><li><span class=""nn4"">Adjustable, removable belt system featuring Simms' Neoprene Wading Belt and built-in belt loop</span></li><li><span class=""nn4"">Patented front and back leg seam construction for improved fit, increased articulation, and decreased leg seam abrasion</span></li><li><span class=""nn4"">4mm high-density neoprene stockingfoot with hourglass seam design for more cushion and increased durability</span></li><li><span class=""nn4"">Awarded Gray's Best 2008 from Gray's Sporting Journal</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				g4_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				g4_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGV107,,,699.95,,,
WBSFWGR10,,,"RIVERSHED STOCKINGFOOT       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> RIVERSHED™  STOCKINGFOOTS </div>\r\n   <p class=""description"">Our lightweight Rivershed GORE-TEX&reg; waders are primed for any angler or angling adventure.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">3-layer GORE-TEX&reg; Performance Shell fabric technology with 5-layer front leg panel for additional durability</span></li><li><span class=""nn4"">Adjustable elastic 1.5"" suspender with YKK&reg; non-locking buckles</span></li><li><span class=""nn4"">Thermolaminated Schoeller&reg; zippered chest pocket</span></li><li><span class=""nn4"">Flip-out, zippered chest pocket with key cord</span></li><li><span class=""nn4"">Articulated knees for less bulk and more comfortable wear</span></li><li><span class=""nn4"">Patented built-in Guide Model Gravel Guards</span></li><li><span class=""nn4"">Easily convert to waist highs</span></li><li><span class=""nn4"">Nylon wading belt and repair kit included</span></li><li><span class=""nn4"">DEET &amp; saltwater resistant</span></li><li><span class=""nn4"">Every pair manufactured in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				rivershed_stockingfoot.jpg,http://www.westbranchangler.com/site/images/items/325x325/				rivershed_stockingfoot.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGR10,,,299.95,,,
WBSFWGP10,,,"G3 GUIDE STOCKINGFOOT     ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> G3 GUIDE STOCKINGFOOTS </div>\r\n   <p class=""description"">An updated version of our top selling wader now with GORE-TEX Pro Shell fabric - and at a great new price.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">5-layer and 3-layer GORE-TEX&reg; Pro Shell fabric technology</span></li><li><span class=""nn4"">Patented front and back leg seam construction for enhanced articulation, comfort and durability</span></li><li><span class=""nn4"">Patented built-in Guide Model Gravel Guards</span></li><li><span class=""nn4"">Exterior chest pocket with zippered closure holds large fly box</span></li><li><span class=""nn4"">Fleece-lined hand warmer pocket with DWR treatment</span></li><li><span class=""nn4"">Flip-out Tippet Tender pocket includes patented built-in retractor</span></li><li><span class=""nn4"">Low profile belt loops accommodate 2"" wading belt</span></li><li><span class=""nn4"">Easily convert to waist highs</span></li><li><span class=""nn4"">DEET &amp; saltwater resistant</span></li><li><span class=""nn4"">Nylon wading belt &amp; repair kit included</span></li><li><span class=""nn4"">Every pair manufactured in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				g3_guide_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				g3_guide_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGP10,,,399.95,,,
WBSFWG54,,,"RIVERTEK STOCKINGFOOT       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> RIVERTEK™ STOCKINGFOOTS </div>\r\n   <p class=""description"">These\r\nwaders use a combination of innovative Gore-Tex&reg; fabrics. The versatile\r\ndesign allows them to be worn as pants or chest highs.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">3-layer Gore-Tex&reg; Performance Shell fabric with reinforced knee</span></li><li><span class=""nn4"">Patented waist high roll-up features lightweight GORE-TEX&reg; fabric with low profile laminated pocket</span></li><li><span class=""nn4"">Easy conversion from chest to pant wader</span></li><li><span class=""nn4"">Roll-top includes shock cord cinch and 1"" removable suspenders</span></li><li><span class=""nn4"">Built-in belt provides easy adjustment to accommodate layering</span></li><li><span class=""nn4"">Patented built-in neoprene Guide Model Gravel Guards</span></li><li><span class=""nn4"">4mm, high-density neoprene stockingfeet with hourglass seam design</span></li><li><span class=""nn4"">Repair kit included</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				riverteksf_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				riverteksf_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWG54,,,299.95,,,
WBSFWFS10,,,"FREESTONE STOCKINGFOOT       ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> FREESTONE&reg; STOCKINGFOOTS </div>\r\n   <p class=""description"">Performance and quality at a great price. A perfect wader for a new angler.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">4-layer QuadraLam™ fabric technology</span></li><li><span class=""nn4"">Upper features lightweight polyester fabric</span></li><li><span class=""nn4"">Flip-out, zippered chest pocket</span></li><li><span class=""nn4"">Gusseted crotch for enhanced mobility</span></li><li><span class=""nn4"">Built-in belt loop</span></li><li><span class=""nn4"">Patented built-in neoprene gravel guards</span></li><li><span class=""nn4"">3.5mm high-density neoprene stockingfoot with hourglass design for increased durability</span></li><li><span class=""nn4"">Easily converts to waist highs</span></li><li><span class=""nn4"">Nylon wading belt included</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				freestone_stocking_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				freestone_stocking_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWFS10,,,199.95,,,
WBSFWCY10,,,"KIDS STOCKINGFOOT        ",,"<div style=""font-size: 15px; font-weight: bold; font-family: arial; color: rgb(165, 68, 19); padding-top: 23px; padding-bottom: 10px; padding-left: 33px;""> KID'S GORE-TEX&reg; STOCKINGFOOTS </div>\r\n   <p class=""description"">A Simms exclusive, these are the only GORE-TEX&reg; waders on the market designed for children.</p>\r\n    \r\n    \r\n    \r\n    \r\n     <ul id=""productdetails""><li><span class=""nn4"">3-layer GORE-TEX&reg; Immersion&reg; technology</span></li><li><span class=""nn4"">Adjustable elastic 1"" suspenders</span></li><li><span class=""nn4"">Built-in belt loop</span></li><li><span class=""nn4"">Reinforced knee</span></li><li><span class=""nn4"">3.5mm, high-density neoprene stockingfoot</span></li><li><span class=""nn4"">Easily convert to waist highs</span></li><li><span class=""nn4"">Nylon wading belt included</span></li><li><span class=""nn4"">Every pair manufactured and tested in Bozeman, Montana</span></li></ul>",Clothing,,,http://www.westbranchangler.com/site/images/items/120x120/				kids_stocking_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/				kids_stocking_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWCY10,,,139.95,,,
