SKU,Manufacturer_ID,Brand_Name,Product_Name,Short_Description,Category,Subcategory,Thumb_URL,Image_URL,Buy_Link,Retail_Price
WBSFCMS108,3xdry_essex_shirt,Simms,3XDRY ESSEX SHIRT ,"Crafted from 100% performance cotton, the Essex combines casual-shirt comfort and fishing-shirt performance.",Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/essex_shirt_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/essex_shirt_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCMS108,69.95
WBSFCHD109,3xdry_solarflex_hoody,Simms,SOLARFLEX HOODY ,"Designed specifically for hard-core flats guides, this shirt strikes the perfect balance between lightweight high-tech performance and uncompromising sun protection.",Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_solarflex_hoody_cor3_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_solarflex_hoody_cor3_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCHD109,59.95
WBSFCPF109,3xdry_solarflex_shirt,Simms,SOLARFLEX SHIRT ,"100% protection and technical performance in a shirt so comfortable and light, you'll hardly know you're wearing anything. ",Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/photo_not_available.gif,http://www.westbranchangler.com/site/images/items/325x325/photo_not_available.gif,http://www.westbranchangler.com/cgi-bin/site/WBSFCPF109,49.95
WBSFH4C109,406_canvas_cap,Simms,406 CANVAS CAP ,"For all of your activites on or off the water, there's a Simms cap for you. The 406/Simms Fish Cap represents our home waters without sharing the secret spots!",Clothing,Hats,http://www.westbranchangler.com/site/images/items/120x120/simms_406_canvas_hat.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_406_canvas_hat.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFH4C109,14.95
WBSFH8P109,8_panel_long_bill_hat,Simms,8 Panel Long Bill Cap,Stylish and functional. ,Clothing,Hats,http://www.westbranchangler.com/site/images/items/120x120/8_panel_long_billed_cap2009.jpg.png,http://www.westbranchangler.com/site/images/items/325x325/8_panel_long_billed_cap2009.jpg.png,http://www.westbranchangler.com/cgi-bin/site/WBSFH8P109,19.95
WBSFABM10,backmagic_wading_belt,Simms,BACKMAGIC WADING BELT   ,Unsurpassed comfort and support in a highly adjustable belt,Accessories,Wading,http://www.westbranchangler.com/site/images/items/120x120/black_magic_wading_belt_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/black_magic_wading_belt_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFABM10,59.95
WBSFASB9,backsaver_belt,Simms,BACKSAVER BELT         ,Don't let your back keep you off the river this belt will keep you feeling good all day long.,Accessories,Wading,http://www.westbranchangler.com/site/images/items/120x120/back_saver_belt.jpg,http://www.westbranchangler.com/site/images/items/325x325/back_saver_belt.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFASB9,39.95
WBSFCWS109,big_sky_shirt,Simms,BIG SKY SHIRT ,A technical fishing shirt inspired by the classic western style that's a staple in our hometown of Bozeman.,Clothing,Sportswear,http://www.westbranchangler.com/site/images/items/120x120/simms_bigskyshirt_2009.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_bigskyshirt_2009.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFCWS109,69.95
WBSFSBF,blackfoot_stockingfoot_09,Simms,BLACKFOOT WADING BOOT ,The lowest priced Simms wading boot offering the performance of competing products with Simms quality. The Blackfoot is the ideal boot for new anglers and customers on a budget.,Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/BlackfootBoot.jpg,http://www.westbranchangler.com/site/images/items/325x325/BlackfootBoot.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSBF,79.95
WBSFWBF10,blackfoot_stockingfoot_2007,Simms,BLACKFOOTª STOCKINGFOOTS,"A durable, packable no-frills wader at our lowest price.",Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/blackfoot_stocking_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/blackfoot_stocking_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWBF10,149.95
